物件名,アクセス1,アクセス2,所在地,築年数,建物の階数,賃料,管理費,敷金,礼金,仲介金,部屋の階数,間取り,面積,方角
【空室1件】 リシェル氷川台,東京メトロ有楽町線 氷川台駅 徒歩3分,東京メトロ副都心線 氷川台駅 徒歩3分,東京都練馬区桜台３丁目,1982年11月(築41年),5階建,"123,000円","管理費5,000円",12.3万円,12.3万円,無料,203号室,2LDK,55㎡,南東
【空室1件】 アルデア鷺宮,西武新宿線 鷺ノ宮駅 徒歩7分,西武新宿線 都立家政駅 徒歩14分,東京都中野区鷺宮４丁目,2019年2月(築4年),3階建,"116,000円","管理費4,000円",無料,無料,"25,000円",201号室,2K,40.14㎡,南東
【空室1件】 ハイツ若月,東京メトロ東西線 落合駅 徒歩4分,ＪＲ総武線 東中野駅 徒歩5分,東京都中野区東中野４丁目,1974年3月(築49年),3階建,"90,000円","管理費5,000円",9.0万円,9.0万円,"39,000円",201号室,2DK,42㎡,南
【空室1件】 舎人三丁目戸建,日暮里舎人ライナー 見沼代親水公園駅 徒歩4分,日暮里舎人ライナー 舎人駅 徒歩12分,東京都足立区舎人３丁目,1976年1月(築47年),2階建,"115,000円",管理費0円,無料,11.5万円,"25,000円",1号室,2LDK,62.35㎡,東
【空室1件】 永島ビル,東急池上線 蓮沼駅 徒歩5分,ＪＲ京浜東北・根岸線 蒲田駅 徒歩7分,東京都大田区西蒲田７丁目,1983年4月(築40年),6階建,"81,000円","管理費2,000円",無料,無料,無料,401号室,2DK,34.05㎡,南
【空室1件】 Ｋｏｌｅｔ足立江北＃０４,ＪＲ京浜東北・根岸線 蒲田駅 徒歩7分,,東京都足立区江北４丁目,2023年7月(新築),3階建,"196,000円",管理費0円,19.6万円,19.6万円,無料,-号室,3LDK,72.08㎡,南西
【空室1件】 ＨＦ田端レジデンス,ＪＲ山手線 田端駅 徒歩11分,ＪＲ山手線 西日暮里駅 徒歩12分,東京都北区田端新町２丁目,2015年12月(築8年),15階建,"183,000円","管理費8,000円",18.3万円,18.3万円,無料,1203号室,2LDK,57.24㎡,南東
【空室1件】 エクセル５１８Ｂ棟,ＪＲ京浜東北・根岸線 蒲田駅 徒歩5分,東急池上線 蓮沼駅 徒歩10分,東京都大田区西蒲田５丁目,1990年3月(築33年),2階建,"85,000円","管理費3,000円",無料,無料,無料,205号室,2DK,37.26㎡,南
【空室3件】 リーフコート東六郷,京急本線 雑色駅 徒歩7分,京急空港線 糀谷駅 徒歩13分,東京都大田区東六郷１丁目,1988年6月(築35年),3階建,"89,000円","管理費3,000円",8.9万円,無料,無料,303号室,2K,37.72㎡,南西
【空室3件】 リーフコート東六郷,京急本線 雑色駅 徒歩7分,京急空港線 糀谷駅 徒歩13分,東京都大田区東六郷１丁目,1988年6月(築35年),3階建,"93,000円","管理費3,000円",9.3万円,無料,無料,302号室,2K,37.72㎡,南西
【空室3件】 リーフコート東六郷,京急本線 雑色駅 徒歩7分,京急空港線 糀谷駅 徒歩13分,東京都大田区東六郷１丁目,1988年6月(築35年),3階建,"90,000円","管理費3,000円",9.0万円,無料,無料,202号室,2K,41㎡,南西
【空室2件】 コスモグラシア三ノ輪,京急空港線 糀谷駅 徒歩13分,,東京都台東区竜泉２丁目,2022年12月(築1年),14階建,"154,000円","管理費15,000円",無料,無料,無料,1005号室,2DK,40.02㎡,東
【空室2件】 コスモグラシア三ノ輪,京急空港線 糀谷駅 徒歩13分,,東京都台東区竜泉２丁目,2022年12月(築1年),14階建,"150,000円","管理費15,000円",無料,無料,無料,0205号室,2DK,40.02㎡,東
【空室1件】 田辺ハウス,京王井の頭線 富士見ヶ丘駅 徒歩10分,京王線 芦花公園駅 徒歩15分,東京都世田谷区北烏山１丁目,1991年5月(築32年),2階建,"99,000円","管理費1,000円",9.9万円,無料,"88,000円",201号室,2LDK,83.64㎡,南東
【空室3件】 メゾンシルク,都営浅草線 西馬込駅 徒歩3分,都営浅草線 馬込駅 徒歩14分,東京都大田区南馬込５丁目,1993年8月(築30年),2階建,"92,000円","管理費3,000円",9.2万円,9.2万円,無料,202号室,2K,38.2㎡,南
【空室3件】 メゾンシルク,都営浅草線 西馬込駅 徒歩3分,都営浅草線 馬込駅 徒歩14分,東京都大田区南馬込５丁目,1993年8月(築30年),2階建,"92,000円","管理費3,000円",9.2万円,9.2万円,無料,201号室,2K,38.2㎡,南
【空室3件】 メゾンシルク,都営浅草線 西馬込駅 徒歩3分,都営浅草線 馬込駅 徒歩14分,東京都大田区南馬込５丁目,1993年8月(築30年),2階建,"89,000円","管理費3,000円",8.9万円,8.9万円,無料,101号室,2K,38.2㎡,南
【空室1件】 サンハイツ,京急本線 雑色駅 徒歩5分,京急本線 六郷土手駅 徒歩17分,東京都大田区仲六郷２丁目,1996年2月(築27年),2階建,"85,000円",管理費0円,8.5万円,無料,無料,101号室,2K,40.36㎡,東
【空室1件】 Ｋｏｌｅｔ梅島＃１３,京急本線 六郷土手駅 徒歩17分,,東京都足立区梅田６丁目,2023年7月(新築),3階建,"194,000円",管理費0円,19.4万円,19.4万円,無料,-号室,2SLDK,70.18㎡,南西
【空室1件】 ブルックス,京急本線 六郷土手駅 徒歩17分,,東京都板橋区本町,1994年2月(築29年),7階建,"105,000円","管理費5,000円",無料,無料,無料,501号室,2DK,40㎡,-
【空室1件】 イーストパークス大島サザンスクエア,都営新宿線 大島駅 徒歩2分,ＪＲ総武線 亀戸駅 徒歩16分,東京都江東区大島６丁目,1997年9月(築26年),14階建,"146,000円","管理費10,000円",14.6万円,29.2万円,"88,000円",0302号室,2SLDK,68.58㎡,南西
【空室2件】 綾東ヴィレッジ弐番館,東京メトロ千代田線 綾瀬駅 徒歩11分,つくばエクスプレス 青井駅 徒歩7分,東京都足立区綾瀬６丁目,1991年9月(築32年),6階建,"137,000円","管理費15,000円",13.7万円,無料,無料,501号室,2LDK,66.01㎡,南
【空室2件】 綾東ヴィレッジ弐番館,東京メトロ千代田線 綾瀬駅 徒歩11分,つくばエクスプレス 青井駅 徒歩7分,東京都足立区綾瀬６丁目,1991年9月(築32年),6階建,"159,000円","管理費15,000円",15.9万円,無料,無料,405号室,2LDK,66.19㎡,南
【空室1件】 フェリーチェ錦糸町,ＪＲ総武線 錦糸町駅 徒歩7分,東京メトロ半蔵門線 住吉駅 徒歩8分,東京都墨田区江東橋２丁目,2022年2月(築1年),15階建,"106,000円","管理費10,000円",10.6万円,無料,無料,1402号室,2K,25.6㎡,北
【空室1件】 堀切菖蒲園戸建,京成本線 堀切菖蒲園駅 徒歩8分,東京メトロ千代田線 綾瀬駅 徒歩19分,東京都葛飾区堀切６丁目,1985年10月(築38年),2階建,"148,000円",管理費0円,14.8万円,無料,無料,1号室,3DK,70.36㎡,南
【空室1件】 西池袋ローヤルコーポ,東京メトロ千代田線 綾瀬駅 徒歩19分,,東京都豊島区西池袋５丁目,1978年7月(築45年),9階建,"140,000円","管理費15,000円",28.0万円,14.0万円,"88,000円",601号室,2LDK,57.75㎡,東
【空室1件】 ドルメン五反田,東急池上線 戸越銀座駅 徒歩9分,ＪＲ山手線 五反田駅 徒歩12分,東京都品川区西五反田６丁目,1981年6月(築42年),10階建,"108,000円","管理費10,000円",10.8万円,10.8万円,無料,０４０２号室,2DK,41.39㎡,北西
【空室1件】 Ｋｏｌｅｔ堀切菖蒲園＃０６,ＪＲ山手線 五反田駅 徒歩12分,,東京都葛飾区堀切２丁目,2023年4月(新築),3階建,"194,000円",管理費0円,19.4万円,19.4万円,無料,-号室,2SLDK,70.55㎡,北
【空室1件】 小梅マンション,西武池袋線 桜台駅 徒歩2分,西武有楽町線 新桜台駅 徒歩10分,東京都練馬区桜台４丁目,1975年2月(築48年),4階建,"72,000円","管理費3,000円",7.2万円,無料,無料,402号室,2K,30㎡,南
【空室1件】 エクセル５１８Ａ棟,ＪＲ京浜東北・根岸線 蒲田駅 徒歩5分,東急池上線 蓮沼駅 徒歩8分,東京都大田区西蒲田５丁目,1990年3月(築33年),2階建,"85,000円","管理費3,000円",無料,無料,無料,206号室,2DK,37.26㎡,南
【空室1件】 けやき通り北八番館,東京メトロ日比谷線 南千住駅 徒歩16分,東京メトロ日比谷線 南千住駅 バス7分 汐入公園前下車 徒歩1分,東京都荒川区南千住８丁目,1992年7月(築31年),10階建,"110,000円",管理費0円,11.0万円,無料,無料,909号室,2DK,49.39㎡,東
