物件名,賃料,管理費,敷金,礼金,仲介金,所在地,部屋の階数,間取り,面積,アクセス1,URL
上空でほっと一息,"128,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,201号室,1LDK,37.38㎡,経堂駅 徒歩9分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1001054431/
四角の中に入ろう,"145,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,4号室,1LDK,40.0㎡,東松原駅 徒歩1分(京王電鉄井の頭線),https://www.goodrooms.jp/tokyo/detail/001/1000037917/
ドライフラワーのブーケを手に,"180,000円","管理費15,000円",なし,なし,なし,東京都中央区,0302号室,1LDK,38.16㎡,浜町駅 徒歩6分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001302811/
フォレストメゾン,"129,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,203号室,1LDK,50.48㎡,洗足池駅 徒歩10分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1001006255/
ファザコンレベル上昇,"129,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都新宿区,203号室,1LDK,30.08㎡,四谷三丁目駅 徒歩5分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1001291203/
いざ、探検！,"175,000円","管理費10,000円",1ヶ月,なし,1.1ヶ月,東京都世田谷区,502号室,1LDK,53.17㎡,池尻大橋駅 徒歩6分(東急田園都市線),https://www.goodrooms.jp/tokyo/detail/001/3867502/
ラ・ヴィーダ駒込,"109,000円","管理費5,000円",10.9万円,10.9万円,1.1ヶ月,東京都北区,0301号室,2DK,44.05㎡,駒込駅 徒歩9分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001307706/
羽が安らぐとき,"160,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都渋谷区,202号室,1LDK,44.81㎡,初台駅 徒歩6分(京王電鉄京王線),https://www.goodrooms.jp/tokyo/detail/001/1000239498/
ありがとうと言わせて,"120,000円","管理費4,000円",1.5ヶ月,なし,1.1ヶ月,東京都品川区,305号室,2K,32.5㎡,戸越駅 徒歩5分(東京都浅草線),https://www.goodrooms.jp/tokyo/detail/001/1000397962/
そっと佇む,"145,000円","管理費5,000円",1ヶ月,1ヶ月,なし,東京都杉並区,A号室,1LDK,57.95㎡,阿佐ケ谷駅 徒歩9分(中央本線),https://www.goodrooms.jp/tokyo/detail/001/1000817435/
エトアール代々木,"145,000円","管理費10,000円",14.5万円,7.25万円,1.1ヶ月,東京都渋谷区,0501号室,1LDK,59.4㎡,参宮橋駅 徒歩4分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1001336306/
グランパルク亀戸,"120,000円","管理費8,500円",1ヶ月,12万円,1.1ヶ月,東京都江東区,501号室,1LDK,50.77㎡,亀戸水神駅 徒歩6分(東武鉄道亀戸線),https://www.goodrooms.jp/tokyo/detail/001/1001342464/
テラスハウスST荻窪,"95,000円",管理費なし,なし,なし,1.1ヶ月,東京都杉並区,201号室,1LDK,38.76㎡,荻窪駅 徒歩10分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1001323998/
非日常なレストラン,"124,000円","管理費18,000円",なし,なし,なし,東京都板橋区,101号室,1LDK,35.21㎡,板橋本町駅 徒歩5分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001162747/
くすんだフィルムの色,"152,000円",管理費なし,1ヶ月,なし,1.1ヶ月,東京都豊島区,303号室,2DK,47.23㎡,雑司が谷駅 徒歩4分(東京地下鉄副都心線),https://www.goodrooms.jp/tokyo/detail/001/1001325802/
ホワイトチョコで作る夢,"124,000円","管理費10,000円",1ヶ月,なし,1.1ヶ月,東京都大田区,103号室,1LDK,33.83㎡,馬込駅 徒歩4分(東京都浅草線),https://www.goodrooms.jp/tokyo/detail/001/1001339950/
あれよあれよと言う間に,"130,000円","管理費5,000円",なし,なし,1.1ヶ月,東京都世田谷区,402号室,1LDK,44.52㎡,上野毛駅 徒歩7分(東急大井町線),https://www.goodrooms.jp/tokyo/detail/001/1000572127/
窓からちょいと風情を,"176,000円","管理費12,000円",1ヶ月,2ヶ月,1.1ヶ月,東京都中央区,203号室,1LDK,41.87㎡,小伝馬町駅 徒歩4分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1001341198/
おばさんのクッキー。,"130,000円",管理費なし,1ヶ月,なし,1.1ヶ月,東京都文京区,B号室,1LDK,41.32㎡,巣鴨駅 徒歩6分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1000264773/
コスモスパジオ千歳烏山,"103,000円","管理費5,000円",1ヶ月,なし,1.1ヶ月,東京都世田谷区,402号室,1LDK,55.73㎡,千歳烏山駅 徒歩4分(京王電鉄京王線),https://www.goodrooms.jp/tokyo/detail/001/1001338072/
何気ない毎日は旅の途中,"130,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都足立区,202号室,2LDK,55.89㎡,青井駅 徒歩8分(つくばエクスプレス),https://www.goodrooms.jp/tokyo/detail/001/1000883052/
リンゴンベリーを用意しなくちゃ！,"90,000円","管理費3,000円",1ヶ月,なし,なし,東京都練馬区,102号室,1LDK,38.92㎡,中村橋駅 徒歩6分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1000600519/
晩ごはんのにおい,"97,000円","管理費2,000円",1ヶ月,なし,1.1ヶ月,東京都目黒区,202号室,2K,32.4㎡,学芸大学駅 徒歩5分(東急東横線),https://www.goodrooms.jp/tokyo/detail/001/1000137842/
モダニズムわたし,"180,000円","管理費12,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都品川区,103号室,2DK,42.98㎡,目黒駅 徒歩6分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1000742596/
ＭＩＹＯＳＨＩ　ＡＰＡＲＴＭＥＮＴ,"138,000円","管理費5,000円",なし,13.8万円,1.1ヶ月,東京都江東区,203号室,1LDK,42.23㎡,清澄白河駅 徒歩10分(東京地下鉄半蔵門線),https://www.goodrooms.jp/tokyo/detail/001/1000878779/
窓際のたのしみ,"125,000円","管理費8,000円",なし,なし,1.1ヶ月,東京都大田区,301号室,1LDK,31.4㎡,馬込駅 徒歩2分(東京都浅草線),https://www.goodrooms.jp/tokyo/detail/001/1000056275/
ホットミルクティーはいかが？,"127,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都新宿区,107号室,1LDK,30.64㎡,西早稲田駅 徒歩4分(東京地下鉄副都心線),https://www.goodrooms.jp/tokyo/detail/001/1001324652/
モダン・ダイナー・ルーム,"142,400円","管理費13,100円",1ヶ月,1ヶ月,1.1ヶ月,東京都新宿区,314号室,1LDK,40.92㎡,中井駅 徒歩6分(西武鉄道新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001296968/
魅力の秘密は,"134,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,a号室,1LDK,38.25㎡,東松原駅 徒歩3分(京王電鉄井の頭線),https://www.goodrooms.jp/tokyo/detail/001/1000001660/
