物件名,賃料,管理費,敷金,礼金,仲介金,所在地,部屋の階数,間取り,面積,アクセス1,URL
経堂５丁目貸家,"160,000円",管理費なし,1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,1号室,2SLDK,76.49㎡,経堂駅 徒歩11分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1001289237/
ぐりイエ,"167,000円","管理費8,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,105号室,3LDK,75.56㎡,京急蒲田駅 徒歩10分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001209509/
アヴェニーユ弐番館,"116,000円","管理費9,000円",なし,1ヶ月,1.1ヶ月,東京都墨田区,403号室,1LDK,41.63㎡,小村井駅 徒歩10分(東武鉄道亀戸線),https://www.goodrooms.jp/tokyo/detail/001/1001337382/
プラザサンタナカ１号館,"100,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都板橋区,105号室,2DK,42.93㎡,地下鉄成増駅 徒歩3分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1001167894/
パークテラス,"110,000円","管理費4,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都足立区,203号室,1LDK,47.34㎡,西新井大師西駅 徒歩8分(日暮里舎人ライナー),https://www.goodrooms.jp/tokyo/detail/001/1001309504/
ハクジウハイツ,"120,000円",管理費なし,1ヶ月,1ヶ月,1.1ヶ月,東京都豊島区,304号室,2DK,44.62㎡,目白駅 徒歩4分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001096079/
エクセル五反田,"100,000円","管理費10,000円",1ヶ月,1ヶ月,なし,東京都品川区,201号室,1LDK,28.32㎡,五反田駅 徒歩3分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001331442/
今夜の入浴剤会議。,"130,000円","管理費5,000円",3ヶ月,なし,1.1ヶ月,東京都杉並区,302号室,2LDK,55.0㎡,久我山駅 徒歩7分(京王電鉄井の頭線),https://www.goodrooms.jp/tokyo/detail/001/1000723744/
ニックハイム京浜蒲田第II,"93,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,202号室,2DK,43.2㎡,京急蒲田駅 徒歩8分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001283075/
桜丘トップガーデン,"133,000円","管理費10,000円",13.3万円,13.3万円,1.1ヶ月,東京都世田谷区,2階,1LDK,52.28㎡,千歳船橋駅 徒歩6分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1001278516/
麻布クレセント,"155,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都港区,502号室,2DK,38.5㎡,広尾駅 徒歩7分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1001168205/
ライトテラス秋葉原,"174,000円","管理費12,000円",なし,なし,1.1ヶ月,東京都台東区,0704号室,1LDK,43.52㎡,仲御徒町駅 徒歩7分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1000586586/
メゾン北綾瀬,"105,000円","管理費6,500円",1ヶ月,1ヶ月,1.1ヶ月,東京都足立区,202号室,1LDK,38.83㎡,北綾瀬駅 徒歩4分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/1001339501/
メゾン北綾瀬,"104,000円","管理費6,500円",1ヶ月,1ヶ月,1.1ヶ月,東京都足立区,104号室,1LDK,39.22㎡,北綾瀬駅 徒歩4分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/1001339497/
メゾン北綾瀬,"108,000円","管理費6,500円",1ヶ月,1ヶ月,1.1ヶ月,東京都足立区,201号室,1LDK,39.22㎡,北綾瀬駅 徒歩4分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/1001339498/
シャルム幸,"149,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都北区,201号室,1LDK,45.76㎡,赤羽駅 徒歩5分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1000825910/
ヴォアラクテ西早稲田,"155,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都新宿区,0406号室,1LDK,36.02㎡,高田馬場駅 徒歩7分(東京地下鉄東西線),https://www.goodrooms.jp/tokyo/detail/001/1001337987/
シュロス石神井,"104,000円","管理費3,500円",1ヶ月,1ヶ月,1.1ヶ月,東京都練馬区,103号室,1LDK,40.58㎡,石神井公園駅 徒歩7分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1001181521/
パークテラス,"130,000円","管理費4,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都足立区,301号室,2LDK,54.8㎡,西新井大師西駅 徒歩8分(日暮里舎人ライナー),https://www.goodrooms.jp/tokyo/detail/001/1001309509/
文京グリーンコートビュータワー本駒込,"179,000円","管理費15,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都文京区,A1403号室,1LDK,56.77㎡,千石駅 徒歩4分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1000145047/
サンパレス,"121,000円","管理費7,000円",12.1万円,24.2万円,1.1ヶ月,東京都大田区,101B号室,1LDK,40.0㎡,池上駅 徒歩7分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1001334912/
デキる人はお部屋から,"177,000円","管理費8,000円",なし,なし,なし,東京都港区,0602号室,1LDK,37.73㎡,麻布十番駅 徒歩9分(東京地下鉄南北線),https://www.goodrooms.jp/tokyo/detail/001/1000634522/
パークアクシス錦糸公園,"147,000円","管理費18,000円",1ヶ月,なし,1.1ヶ月,東京都墨田区,606号室,1LDK,31.08㎡,錦糸町駅 徒歩5分(東京地下鉄半蔵門線),https://www.goodrooms.jp/tokyo/detail/001/1001229515/
T's garden西小山,"140,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都目黒区,305号室,1LDK,40.53㎡,西小山駅 徒歩5分(東急目黒線),https://www.goodrooms.jp/tokyo/detail/001/1001059413/
ウェルスクエア方南町,"169,000円","管理費8,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都杉並区,402号室,2LDK,40.66㎡,方南町駅 徒歩4分(東京地下鉄方南支線),https://www.goodrooms.jp/tokyo/detail/001/1001243305/
risa目黒本町,"177,000円","管理費8,000円",1ヶ月,2ヶ月,1.1ヶ月,東京都目黒区,402号室,1LDK,42.97㎡,武蔵小山駅 徒歩4分(東急目黒線),https://www.goodrooms.jp/tokyo/detail/001/1001291313/
シティハイム ヴェルマ,"92,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,102号室,2DK,41.55㎡,馬込駅 徒歩9分(東京都浅草線),https://www.goodrooms.jp/tokyo/detail/001/1001279378/
THE PREMIUM CUBE G 東中野,"114,000円","管理費15,000円",なし,1ヶ月,なし,東京都中野区,110号室,2K,25.98㎡,東中野駅 徒歩7分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001340304/
ラフォーレミササⅠ,"147,000円","管理費8,000円",1ヶ月,なし,1.1ヶ月,東京都練馬区,302号室,3LDK,75.0㎡,新桜台駅 徒歩9分(西武有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1001325969/
ヴィント・シュロス,"130,000円","管理費8,000円",13万円,なし,1.1ヶ月,東京都北区,0602号室,1LDK,39.5㎡,駒込駅 徒歩12分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001339815/
ＨＡＬＥ　ＭＡＬＩＥ（ハレ　マーリエ）,"102,000円","管理費3,000円",なし,1ヶ月,1.1ヶ月,東京都北区,202号室,1LDK,35.19㎡,北赤羽駅 徒歩3分(埼京線),https://www.goodrooms.jp/tokyo/detail/001/1000964951/
The Aigrette Minami‐Kamata,"154,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都大田区,102号室,1LDK,40.09㎡,京急蒲田駅 徒歩3分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001336755/
大田区東蒲田１丁目住宅,"174,000円",管理費なし,1ヶ月,1ヶ月,なし,東京都大田区,201号室,2LDK,72.04㎡,梅屋敷駅 徒歩6分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1000825161/
蒲田本町11113戸建,"200,000円",管理費なし,2ヶ月,1ヶ月,1.1ヶ月,東京都大田区,号室,3LDK,82.23㎡,雑色駅 徒歩10分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001330395/
大谷ビル,"111,000円","管理費4,000円",1ヶ月,なし,1.1ヶ月,東京都大田区,202号室,2DK,45.0㎡,平和島駅 徒歩4分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001318403/
休日はバルコニーで,"157,000円","管理費20,000円",なし,なし,なし,東京都墨田区,0612号室,1LDK,41.27㎡,本所吾妻橋駅 徒歩10分(東京都浅草線),https://www.goodrooms.jp/tokyo/detail/001/1001309153/
食卓はまんなかに,"150,000円","管理費20,000円",なし,なし,なし,東京都墨田区,0209号室,1LDK,41.01㎡,本所吾妻橋駅 徒歩10分(東京都浅草線),https://www.goodrooms.jp/tokyo/detail/001/1000954210/
TSK蒲田フラワーマンション,"98,000円","管理費8,000円",9.8万円,9.8万円,1.1ヶ月,東京都大田区,317号室,1LDK,41.0㎡,蒲田駅 徒歩10分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1000970685/
レジディア神田岩本町II,"155,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都千代田区,1103号室,2K,37.26㎡,岩本町駅 徒歩3分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001150394/
グリーンシティー恵マンション,"115,000円","管理費5,000円",1ヶ月,なし,1.1ヶ月,東京都練馬区,306号室,2LDK,45.0㎡,光が丘駅 徒歩5分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1000370552/
幸眞ビル,"104,000円","管理費3,000円",1ヶ月,なし,1.1ヶ月,東京都板橋区,103号室,2DK,37.0㎡,地下鉄成増駅 徒歩2分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1001132783/
カトルセゾン久我山,"138,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都杉並区,102号室,1LDK,54.77㎡,富士見ヶ丘駅 徒歩4分(京王電鉄井の頭線),https://www.goodrooms.jp/tokyo/detail/001/1001337092/
ハウス21,"120,000円",管理費なし,12万円,12万円,1.1ヶ月,東京都中野区,201号室,2DK,42.26㎡,中野駅 徒歩9分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1000786303/
ＰＡＲＫ　ＳＱＵＡＲＥ　竹ノ塚,"140,000円","管理費9,000円",なし,1ヶ月,1.1ヶ月,東京都足立区,号室,2LDK,70.72㎡,竹ノ塚駅 徒歩7分(東武伊勢崎・大師線),https://www.goodrooms.jp/tokyo/detail/001/1001335334/
trias.N,"112,000円","管理費18,000円",なし,なし,1.1ヶ月,東京都板橋区,304号室,1LDK,35.01㎡,西台駅 徒歩7分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001328291/
アーバン南長崎,"107,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都豊島区,303号室,2DK,45.75㎡,落合南長崎駅 徒歩5分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1001326512/
アーバンフォレスト御園,"178,000円","管理費15,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都文京区,302号室,1LDK,47.36㎡,千石駅 徒歩3分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001194173/
メゾン西ヶ原,"85,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都北区,301号室,2K,30.26㎡,西ヶ原駅 徒歩6分(東京地下鉄南北線),https://www.goodrooms.jp/tokyo/detail/001/1001320717/
プレール・ドゥーク代々木初台,"190,000円","管理費10,000円",なし,なし,1.1ヶ月,東京都渋谷区,301号室,1LDK,36.38㎡,初台駅 徒歩10分(京王電鉄京王線),https://www.goodrooms.jp/tokyo/detail/001/1001173218/
グラシューズ常盤台,"135,000円","管理費6,000円",1ヶ月,2ヶ月,1.1ヶ月,東京都板橋区,2階,1LDK,44.51㎡,ときわ台駅 徒歩8分(東武鉄道東上線),https://www.goodrooms.jp/tokyo/detail/001/1001138317/
レジディア錦糸町II,"165,000円","管理費15,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都墨田区,1301号室,1LDK,42.82㎡,錦糸町駅 徒歩8分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001339018/
ルーブル鷺宮参番館,"94,000円","管理費20,700円",なし,1ヶ月,1.1ヶ月,東京都中野区,105号室,2K,40.5㎡,鷺ノ宮駅 徒歩8分(西武鉄道新宿線),https://www.goodrooms.jp/tokyo/detail/001/1000127417/
シャルム幸,"151,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都北区,401号室,1LDK,45.76㎡,赤羽駅 徒歩5分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1000825915/
グランカーサ三ノ輪,"145,000円","管理費8,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都台東区,0702号室,1LDK,42.61㎡,三ノ輪駅 徒歩4分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1000419699/
クオリタス菊川,"168,000円","管理費20,000円",なし,なし,なし,東京都墨田区,203号室,1LDK,42.92㎡,両国駅 徒歩11分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1001294082/
The Aigrette Minami‐Kamata,"174,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都大田区,402号室,1LDK,40.24㎡,京急蒲田駅 徒歩3分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001336747/
ACOLT氷川台,"145,000円","管理費10,000円",1ヶ月,1ヶ月,なし,東京都練馬区,312号室,1LDK,44.03㎡,氷川台駅 徒歩7分(東京地下鉄副都心線),https://www.goodrooms.jp/tokyo/detail/001/1001337091/
voyage(ヴォヤージュ),"132,000円","管理費14,000円",なし,1ヶ月,1.1ヶ月,東京都墨田区,102号室,1LDK,39.6㎡,錦糸町駅 徒歩13分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001337072/
エトアール代々木,"132,000円","管理費10,000円",13.2万円,なし,1.1ヶ月,東京都渋谷区,0403号室,1LDK,41.63㎡,参宮橋駅 徒歩4分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1001336307/
Ｓｅｐｉａ　Ｐａｌａｃｅ,"121,000円","管理費5,000円",なし,1ヶ月,1.1ヶ月,東京都荒川区,202号室,1LDK,33.53㎡,日暮里駅 徒歩8分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001077192/
エントラスト綾瀬,"105,000円","管理費5,000円",なし,1ヶ月,1.1ヶ月,東京都足立区,204号室,1LDK,37.41㎡,綾瀬駅 徒歩4分(千代田・常磐緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001197803/
パヴィヨン・ブラン,"85,000円",管理費なし,1ヶ月,1ヶ月,1.1ヶ月,東京都足立区,205号室,2K,38.01㎡,梅島駅 徒歩5分(東武伊勢崎・大師線),https://www.goodrooms.jp/tokyo/detail/001/1001335050/
レジデンス牛込神楽坂,"143,000円","管理費11,000円",なし,1ヶ月,1.1ヶ月,東京都新宿区,301号室,1LDK,34.26㎡,牛込神楽坂駅 徒歩5分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1000392776/
ヴェルデ諏訪,"110,000円","管理費10,000円",1ヶ月,なし,1.1ヶ月,東京都新宿区,104号室,1LDK,35.0㎡,高田馬場駅 徒歩4分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001261156/
シティコア２１,"180,000円","管理費20,000円",18万円,なし,1.1ヶ月,東京都中野区,301号室,3LDK,90.48㎡,沼袋駅 徒歩10分(西武鉄道新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001251539/
ハーモニーレジデンスグローバルキャピタル,"165,000円","管理費12,000円",なし,1ヶ月,1.1ヶ月,東京都台東区,1303号室,1LDK,40.48㎡,入谷駅 徒歩5分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1001335638/
ソフィアK2,"125,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,303号室,1LDK,43.33㎡,武蔵新田駅 徒歩5分(東急多摩川線),https://www.goodrooms.jp/tokyo/detail/001/1001335436/
グレンパーク秋葉原イースト,"168,000円","管理費14,000円",1ヶ月,1ヶ月,なし,東京都千代田区,1202号室,1LDK,45.3㎡,岩本町駅 徒歩3分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1000870312/
南大泉シティタワー,"108,000円",管理費なし,1ヶ月,1ヶ月,1.1ヶ月,東京都練馬区,503号室,2DK,60.06㎡,保谷駅 徒歩4分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1001310672/
リーフコート東六郷,"90,000円","管理費3,000円",1ヶ月,なし,1.1ヶ月,東京都大田区,202号室,2K,41.0㎡,雑色駅 徒歩8分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001226683/
優しさに包まれて,"176,000円","管理費4,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都渋谷区,202号室,1SLDK,48.73㎡,笹塚駅 徒歩3分(京王電鉄京王線),https://www.goodrooms.jp/tokyo/detail/001/1001311952/
ビューラ石神井公園,"149,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都練馬区,106号室,3LDK,61.8㎡,石神井公園駅 徒歩5分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1000446135/
ザ・クレスト,"150,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都北区,703号室,3LDK,67.53㎡,赤羽岩淵駅 徒歩7分(東京地下鉄南北線),https://www.goodrooms.jp/tokyo/detail/001/1001311661/
ミラベル大森,"97,000円","管理費3,000円",9.7万円,9.7万円,1.1ヶ月,東京都大田区,208号室,2DK,39.5㎡,大森町駅 徒歩5分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1000790500/
Daisy Herd(デイジーヘルド),"154,000円","管理費11,000円",15.4万円,15.4万円,1.1ヶ月,東京都墨田区,0208号室,1LDK,44.13㎡,森下駅 徒歩6分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001319931/
桜新町リーベンハイム,"146,000円","管理費4,000円",14.6万円,14.6万円,1.1ヶ月,東京都世田谷区,0001号室,1LDK,47.28㎡,桜新町駅 徒歩8分(東急田園都市線),https://www.goodrooms.jp/tokyo/detail/001/1001318774/
プリムローズ,"117,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,201号室,2DK,51.03㎡,京急蒲田駅 徒歩8分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001317201/
ＮＯＺＯＭＩＯ上中里,"117,000円","管理費7,000円",なし,なし,1.1ヶ月,東京都北区,101号室,1LDK,35.69㎡,上中里駅 徒歩4分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1000855401/
元山ビル,"130,000円","管理費4,000円",1ヶ月,なし,1.1ヶ月,東京都港区,0001号室,2K,38.97㎡,広尾駅 徒歩9分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1001296096/
リッツ山王テラス,"112,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,201号室,1LDK,34.02㎡,大森駅 徒歩8分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1001294939/
いつかは料理長,"171,000円","管理費8,000円",1ヶ月,なし,1.1ヶ月,東京都台東区,1301号室,1LDK,43.08㎡,田原町駅 徒歩7分(東京地下鉄銀座線),https://www.goodrooms.jp/tokyo/detail/001/1000284112/
つまりそれは,"130,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都品川区,1204号室,1LDK,40.59㎡,大森海岸駅 徒歩5分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001283083/
アキタハウスB棟,"85,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都文京区,101号室,2K,36.43㎡,春日駅 徒歩6分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001258718/
ハイツイケダ,"113,000円","管理費4,000円",なし,1ヶ月,1.1ヶ月,東京都世田谷区,208号室,1LDK,41.81㎡,千歳船橋駅 徒歩2分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1000919328/
レジデンス上鷺,"155,000円","管理費8,000円",1ヶ月,なし,1.1ヶ月,東京都中野区,105号室,2LDK,66.03㎡,富士見台駅 徒歩4分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1001240330/
麻布クレセント,"150,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都港区,302号室,2DK,38.5㎡,広尾駅 徒歩7分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1001220229/
西六郷1363,"105,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,301号室,2DK,43.56㎡,雑色駅 徒歩9分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001235065/
カーサベルデ,"97,000円","管理費4,000円",1ヶ月,なし,なし,東京都世田谷区,201号室,1LDK,34.78㎡,上野毛駅 徒歩8分(東急大井町線),https://www.goodrooms.jp/tokyo/detail/001/1001335518/
幸せな後姿,"184,000円","管理費5,000円",なし,1ヶ月,1.1ヶ月,東京都渋谷区,303号室,1LDK,42.11㎡,参宮橋駅 徒歩5分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1000534649/
カサ・ベルデ,"95,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,1階,2K,35.0㎡,祖師ヶ谷大蔵駅 徒歩4分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1001321540/
ヴィラ グリーンゲーブルズ中野,"144,000円","管理費3,000円",14.4万円,14.4万円,1.1ヶ月,東京都中野区,0404号室,1LDK,42.99㎡,新中野駅 徒歩1分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1001311803/
プレステビル,"137,000円","管理費8,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都練馬区,304号室,3DK,56.0㎡,練馬高野台駅 徒歩1分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1000770953/
クリオ小竹向原Ⅱ,"137,000円","管理費10,000円",1ヶ月,なし,1.1ヶ月,東京都練馬区,306号室,1LDK,40.24㎡,小竹向原駅 徒歩6分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1000898651/
ドミール洗足池,"125,000円",管理費なし,1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,401号室,2DK,44.3㎡,洗足池駅 徒歩9分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1001335700/
THE PREMIUM CUBE G 東中野,"117,500円","管理費15,000円",なし,1ヶ月,なし,東京都中野区,333号室,2K,25.9㎡,東中野駅 徒歩7分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001340323/
THE PREMIUM CUBE G 東中野,"117,500円","管理費15,000円",なし,1ヶ月,なし,東京都中野区,309号室,2K,25.98㎡,東中野駅 徒歩7分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001340311/
サンウッド錦糸町フラッツ,"150,000円","管理費15,000円",なし,1ヶ月,1.1ヶ月,東京都墨田区,602号室,1LDK,36.0㎡,錦糸町駅 徒歩5分(東京地下鉄半蔵門線),https://www.goodrooms.jp/tokyo/detail/001/1001340281/
コンフォリア浅草橋,"161,000円","管理費10,000円",1ヶ月,なし,1.1ヶ月,東京都台東区,0906号室,1LDK,39.15㎡,浅草橋駅 徒歩6分(東京都浅草線),https://www.goodrooms.jp/tokyo/detail/001/1000655056/
グラース洗足池,"168,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,204号室,2LDK,46.78㎡,洗足池駅 徒歩3分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1000151789/
コンフォリア・リヴ巣鴨,"130,000円","管理費10,000円",1ヶ月,なし,1.1ヶ月,東京都豊島区,0407号室,1LDK,30.19㎡,巣鴨駅 徒歩4分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001330691/
Belleville 千光前,"176,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都中野区,204号室,1LDK,47.96㎡,中野駅 徒歩7分(中央本線),https://www.goodrooms.jp/tokyo/detail/001/1000870198/
Ｓｏｌａｎａ蒲田,"131,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,101号室,1LDK,38.92㎡,蒲田駅 徒歩8分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1001339789/
南千住レジデンス,"191,000円","管理費9,000円",なし,なし,なし,東京都荒川区,604号室,2LDK,50.55㎡,南千住駅 徒歩9分(常磐線),https://www.goodrooms.jp/tokyo/detail/001/1000873445/
テラス上石神井ウエスト,"138,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都練馬区,112号室,1SLDK,40.45㎡,上石神井駅 徒歩9分(西武鉄道新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001192618/
ケリア西馬込アジールコート,"169,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都大田区,315号室,1LDK,46.63㎡,西馬込駅 徒歩8分(東京都浅草線),https://www.goodrooms.jp/tokyo/detail/001/1000166638/
ＧＲＡＣＥ　ＰＯＩＮＴ,"168,000円","管理費3,000円",なし,1ヶ月,1.1ヶ月,東京都新宿区,102号室,1LDK,47.04㎡,四谷三丁目駅 徒歩7分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1000832551/
（仮）Ｍｙ　Ｓｔｙｌｅ　中板橋,"91,000円","管理費4,000円",なし,1ヶ月,1.1ヶ月,東京都板橋区,302号室,1LDK,29.81㎡,中板橋駅 徒歩9分(東武鉄道東上線),https://www.goodrooms.jp/tokyo/detail/001/1001336281/
Brillia ist 文京茗荷谷,"184,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都文京区,401号室,2DK,41.86㎡,茗荷谷駅 徒歩5分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1000840596/
グランパルク,"149,000円","管理費12,000円",なし,1ヶ月,1.1ヶ月,東京都北区,203号室,3LDK,65.7㎡,浮間舟渡駅 徒歩3分(埼京線),https://www.goodrooms.jp/tokyo/detail/001/1001336849/
サンクレスト武井,"150,000円","管理費8,500円",1ヶ月,なし,1.1ヶ月,東京都港区,0104号室,1LDK,45.36㎡,虎ノ門駅 徒歩4分(東京地下鉄銀座線),https://www.goodrooms.jp/tokyo/detail/001/1001336847/
サンライフハイツ,"98,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,401号室,2DK,39.72㎡,大鳥居駅 徒歩6分(京浜急行電鉄空港線),https://www.goodrooms.jp/tokyo/detail/001/1001337110/
メゾンプルミエール,"120,000円","管理費10,000円",なし,なし,1.1ヶ月,東京都大田区,802号室,2DK,39.42㎡,池上駅 徒歩3分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1001336020/
サンビレッジ船堀,"130,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都江戸川区,504号室,1SLDK,71.5㎡,船堀駅 徒歩5分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001328744/
